policy,time_s,waiting_cars,reward,avg_speed,avg_co2
DQN,12,0.0,-14.637535095214844,11.174141883850098,68.33964538574219
DQN,26,0.0,-7.11600923538208,11.138765335083008,118.17626190185547
DQN,41,0.0,-8.707453727722168,11.103590965270996,125.07418060302734
DQN,55,0.0,-8.622650146484375,11.03490924835205,133.07823181152344
DQN,60,1.0,-9.55879020690918,11.03984260559082,134.24386596679688
DQN,65,1.0,-9.519367218017578,11.010054588317871,125.0179443359375
DQN,70,1.0,-10.070747375488281,11.014175415039062,140.4016876220703
DQN,75,1.0,-11.006917953491211,10.986552238464355,155.44338989257812
DQN,80,1.0,-11.474944114685059,10.938680648803711,156.5091552734375
DQN,85,2.0,-11.695598602294922,10.911304473876953,160.89990234375
DQN,90,2.0,-10.954898834228516,10.901933670043945,148.30099487304688
DQN,95,0.0,-12.071269989013672,10.81972599029541,171.41302490234375
DQN,106,1.0,-11.138453483581543,10.83601188659668,164.42581176757812
DQN,120,1.0,-10.968348503112793,10.910131454467773,157.86392211914062
DQN,135,1.0,-11.077350616455078,10.882442474365234,159.35723876953125
DQN,149,0.0,-11.356738090515137,10.858283996582031,147.02935791015625
DQN,162,1.0,-11.694906234741211,10.885662078857422,169.07418823242188
DQN,173,2.0,-10.633187294006348,10.8505220413208,144.87757873535156
DQN,187,1.0,-11.790772438049316,10.82642936706543,172.6370391845703
DQN,202,1.0,-10.990623474121094,10.904070854187012,152.5083770751953
DQN,216,1.0,-11.780020713806152,10.935104370117188,158.6680145263672
DQN,231,1.0,-10.471827507019043,10.904974937438965,154.95358276367188
DQN,245,0.0,-12.37682819366455,10.857108116149902,168.0370635986328
DQN,256,1.0,-11.812244415283203,10.946662902832031,159.03219604492188
DQN,270,2.0,-10.204773902893066,10.918663024902344,142.71975708007812
DQN,285,0.0,-12.018304824829102,10.890958786010742,164.37191772460938
DQN,299,0.0,-11.42960262298584,10.921409606933594,153.6312713623047
DQN,310,0.0,-11.89261531829834,10.90583610534668,160.63470458984375
DQN,324,0.0,-10.962923049926758,10.883072853088379,171.03428649902344
DQN,335,0.0,-12.340051651000977,10.884360313415527,161.38536071777344
DQN,349,1.0,-11.832523345947266,10.958521842956543,173.5731658935547
DQN,364,1.0,-10.076353073120117,10.823868751525879,134.53668212890625
DQN,378,1.0,-11.116005897521973,10.900606155395508,149.36610412597656
DQN,393,1.0,-11.172107696533203,10.929162979125977,168.652099609375
DQN,407,0.0,-10.84347152709961,10.924605369567871,149.17210388183594
DQN,422,1.0,-11.40947437286377,10.867115020751953,170.9930877685547
DQN,436,2.0,-11.699599266052246,10.855799674987793,173.4898681640625
DQN,451,2.0,-11.628385543823242,10.834815979003906,154.650146484375
DQN,465,1.0,-21.31321144104004,10.855823516845703,154.16787719726562
DQN,480,1.0,-22.02002716064453,10.926045417785645,154.19268798828125
DQN,494,0.0,-21.04600715637207,10.930466651916504,158.6570281982422
DQN,509,0.0,-22.498384475708008,10.853710174560547,182.15711975097656
DQN,523,1.0,-22.282732009887695,10.916261672973633,180.8477783203125
DQN,538,2.0,-20.430469512939453,10.903929710388184,132.9224395751953
DQN,552,1.0,-21.650386810302734,10.848830223083496,169.4425048828125
DQN,567,1.0,-21.70962142944336,10.93143367767334,166.23471069335938
DQN,581,1.0,-20.43230438232422,10.918777465820312,143.32510375976562
DQN,596,0.0,-21.419538497924805,10.884652137756348,175.31796264648438
DQN,610,0.0,-22.01038360595703,10.898382186889648,180.72052001953125
DQN,625,0.0,-21.19521141052246,10.93932056427002,153.9225616455078
DQN,639,0.0,-22.254640579223633,10.873152732849121,168.36074829101562
DQN,652,2.0,-12.119368553161621,10.901253700256348,177.2330322265625
DQN,657,2.0,-12.309096336364746,10.919539451599121,164.12429809570312
DQN,662,2.0,-11.79513931274414,10.91193675994873,150.75196838378906
DQN,667,2.0,-11.352866172790527,10.923806190490723,146.9712677001953
DQN,672,2.0,-10.96078109741211,10.913901329040527,156.26979064941406
DQN,677,1.0,-10.914444923400879,10.900898933410645,153.12106323242188
DQN,682,0.0,-10.384636878967285,10.872058868408203,121.80487823486328
DQN,693,0.0,-12.43154239654541,10.861795425415039,163.35093688964844
DQN,707,0.0,-12.382682800292969,10.93990421295166,157.28536987304688
DQN,722,1.0,-9.887024879455566,10.877569198608398,144.09686279296875
DQN,736,0.0,-12.208046913146973,10.887683868408203,159.0240936279297
DQN,747,1.0,-12.031603813171387,10.909977912902832,164.249267578125
DQN,761,1.0,-11.207376480102539,10.926544189453125,166.19039916992188
DQN,776,1.0,-10.705253601074219,10.901998519897461,160.77310180664062
DQN,790,1.0,-11.678194999694824,10.863083839416504,160.908447265625
DQN,801,2.0,-11.73863697052002,10.883605003356934,163.37940979003906
DQN,815,0.0,-11.760173797607422,10.833868026733398,157.65982055664062
DQN,830,0.0,-11.09535026550293,10.910266876220703,163.55165100097656
DQN,844,0.0,-11.521909713745117,10.912760734558105,152.6409912109375
DQN,855,0.0,-10.97244930267334,10.914372444152832,163.82424926757812
DQN,869,0.0,-12.445037841796875,10.908862113952637,180.5821075439453
DQN,874,0.0,-12.492630958557129,10.89084529876709,175.64788818359375
DQN,885,0.0,-12.371323585510254,10.916543006896973,177.05300903320312
DQN,899,1.0,-10.314247131347656,10.882658958435059,142.218505859375
DQN,904,0.0,-9.945890426635742,10.83690357208252,150.93092346191406
DQN,909,0.0,-11.316032409667969,10.86837100982666,160.5071563720703
DQN,920,0.0,-11.91547679901123,10.896286010742188,164.55648803710938
DQN,934,0.0,-11.594147682189941,10.937591552734375,163.01046752929688
DQN,945,0.0,-10.796137809753418,10.910929679870605,157.0138397216797
DQN,959,0.0,-22.655101776123047,10.852546691894531,196.8601837158203
DQN,970,0.0,-22.137033462524414,10.877715110778809,178.92941284179688
DQN,984,1.0,-11.09304141998291,10.927336692810059,139.02183532714844
DQN,999,0.0,-11.79081916809082,10.857649803161621,181.86376953125
DQN,1013,0.0,-11.067420959472656,10.906046867370605,167.49205017089844
DQN,1028,0.0,-10.936322212219238,10.941664695739746,150.36802673339844
DQN,1042,1.0,-10.584101676940918,10.913775444030762,163.71875
DQN,1047,0.0,-12.329227447509766,10.924373626708984,183.55538940429688
DQN,1058,0.0,-12.036230087280273,10.906387329101562,190.4293975830078
DQN,1072,0.0,-12.06663990020752,10.924004554748535,172.65855407714844
DQN,1083,0.0,-10.380258560180664,10.8429594039917,154.53640747070312
DQN,1097,0.0,-12.584585189819336,10.894783020019531,182.843994140625
DQN,1108,0.0,-11.478034019470215,10.913559913635254,149.96685791015625
DQN,1122,1.0,-10.815506935119629,10.866743087768555,156.17184448242188
DQN,1133,1.0,-10.6295804977417,10.90202522277832,157.06521606445312
DQN,1147,2.0,-20.72723960876465,10.811474800109863,151.6743927001953
DQN,1158,2.0,-21.039417266845703,10.855759620666504,141.90443420410156
DQN,1172,2.0,-10.822439193725586,10.858089447021484,158.4361572265625
DQN,1187,0.0,-12.055590629577637,10.90388298034668,166.04454040527344
DQN,1201,0.0,-11.470837593078613,10.941123008728027,156.30587768554688
DQN,1212,0.0,-10.459168434143066,10.921648979187012,139.45126342773438
DQN,1226,0.0,-11.312087059020996,10.904695510864258,171.65330505371094
DQN,1237,0.0,-12.12572193145752,10.856255531311035,200.87327575683594
DQN,1251,1.0,-11.113020896911621,10.956292152404785,162.5935516357422
DQN,1266,1.0,-11.146190643310547,10.797411918640137,168.3917694091797
DQN,1280,1.0,-11.902836799621582,10.888653755187988,172.08218383789062
DQN,1295,1.0,-11.065463066101074,10.913383483886719,140.2521209716797
DQN,1309,0.0,-10.585026741027832,10.906537055969238,136.2188262939453
DQN,1322,0.0,-12.380038261413574,10.867667198181152,180.03369140625
DQN,1333,1.0,-11.128039360046387,10.901345252990723,145.6019287109375
DQN,1347,2.0,-10.175806045532227,10.88027572631836,142.40518188476562
DQN,1362,1.0,-11.053625106811523,10.83735466003418,162.77023315429688
DQN,1376,1.0,-12.338390350341797,10.910491943359375,176.0248565673828
DQN,1391,1.0,-10.5139741897583,10.927687644958496,151.8121795654297
DQN,1405,0.0,-10.616080284118652,10.900792121887207,154.94566345214844
DQN,1418,0.0,-11.978546142578125,10.889776229858398,176.04115295410156
DQN,1429,0.0,-11.091659545898438,10.909527778625488,137.4611053466797
DQN,1443,0.0,-11.048900604248047,10.849996566772461,145.28497314453125
DQN,1456,0.0,-13.280156135559082,10.903017044067383,204.0733642578125
DQN,1467,0.0,-12.572693824768066,10.935293197631836,161.02137756347656
DQN,1481,0.0,-10.460673332214355,10.96216106414795,136.84521484375
DQN,1492,1.0,-9.81930923461914,10.928998947143555,134.87989807128906
DQN,1506,1.0,-11.572625160217285,10.86474609375,177.033203125
DQN,1511,2.0,-11.163145065307617,10.85147762298584,147.46376037597656
